date,close
2013/3/15,3.0215
2013/3/18,2.9717
2013/3/19,2.9904
2013/3/20,3.0683
2013/3/21,3.0994
2013/3/22,3.1119
2013/3/25,3.1025
2013/3/26,3.0714
2013/3/27,3.0807
2013/3/28,2.9966
2013/3/29,2.9997
2013/4/1,3.0153
2013/4/2,2.9811
2013/4/3,2.9624
2013/4/8,2.9686
2013/4/9,2.9966
2013/4/10,2.9873
2013/4/11,2.9811
2013/4/12,2.9561
2013/4/15,2.9032
2013/4/16,2.9374
2013/4/17,2.9624
2013/4/18,2.9717
2013/4/19,3.034
2013/4/22,3.0527
2013/4/23,2.9655
2013/4/24,3.0247
2013/4/25,2.9873
2013/4/26,2.9374
2013/5/2,2.9468
2013/5/3,3.0091
2013/5/6,3.062
2013/5/7,3.0683
2013/5/8,3.0994
2013/5/9,3.0994
2013/5/10,3.1181
2013/5/13,3.1275
2013/5/14,3.0932
2013/5/15,3.1399
2013/5/16,3.1742
2013/5/17,3.2178
2013/5/20,3.2583
2013/5/21,3.2957
2013/5/22,3.2707
2013/5/23,3.2458
2013/5/24,3.2926
2013/5/27,3.3237
2013/5/28,3.3362
2013/5/29,3.3549
2013/5/30,3.3642
2013/5/31,3.3517
2013/6/3,3.3299
2013/6/4,3.2614
2013/6/5,3.2739
2013/6/6,3.2147
2013/6/7,3.1555
2013/6/13,3.0652
2013/6/14,3.1337
2013/6/17,3.1337
2013/6/18,3.143
2013/6/19,3.1306
2013/6/20,3.0309
2013/6/21,3.0091
2013/6/24,2.8284
2013/6/25,2.816
2013/6/26,2.872
2013/6/27,2.8222
2013/6/28,2.8284
2013/7/1,2.8814
2013/7/2,2.9343
2013/7/3,2.9343
2013/7/4,2.9592
2013/7/5,2.9468
2013/7/8,2.8378
2013/7/9,2.8471
2013/7/10,2.9374
2013/7/11,3.0247
2013/7/12,2.9997
2013/7/15,3.0527
2013/7/16,3.0901
2013/7/17,3.0496
2013/7/18,3.0434
2013/7/19,2.9748
2013/7/22,3.0309
2013/7/23,3.1025
2013/7/24,3.1181
2013/7/25,3.0652
2013/7/26,3.0589
2013/7/29,2.9966
2013/7/30,2.9811
2013/7/31,2.9997
2013/8/1,3.0838
2013/8/2,3.0901
2013/8/5,3.143
2013/8/6,3.1742
2013/8/7,3.1337
2013/8/8,3.1399
2013/8/9,3.1555
2013/8/12,3.2116
2013/8/13,3.224
2013/8/14,3.2084
2013/8/15,3.168
2013/8/16,3.0994
2013/8/19,3.1524
2013/8/20,3.1337
2013/8/21,3.1555
2013/8/22,3.1711
2013/8/23,3.1617
2013/8/26,3.2303
2013/8/27,3.2552
2013/8/28,3.2365
2013/8/29,3.2365
2013/8/30,3.2022
2013/9/2,3.2084
2013/9/3,3.2707
2013/9/4,3.2676
2013/9/5,3.2863
2013/9/6,3.3112
2013/9/9,3.3362
2013/9/10,3.3642
2013/9/11,3.3517
2013/9/12,3.333
2013/9/13,3.3424
2013/9/16,3.3393
2013/9/17,3.3299
2013/9/18,3.3393
2013/9/23,3.4047
2013/9/24,3.4047
2013/9/25,3.4109
2013/9/26,3.3704
2013/9/27,3.3517
2013/9/30,3.4234
2013/10/8,3.4358
2013/10/9,3.4763
2013/10/10,3.4608
2013/10/11,3.5137
2013/10/14,3.548
2013/10/15,3.5573
2013/10/16,3.4576
2013/10/17,3.4327
2013/10/18,3.467
2013/10/21,3.5511
2013/10/22,3.5168
2013/10/23,3.4296
2013/10/24,3.4172
2013/10/25,3.3268
2013/10/28,3.3206
2013/10/29,3.2303
2013/10/30,3.2832
2013/10/31,3.2458
2013/11/1,3.2334
2013/11/4,3.2489
2013/11/5,3.2926
2013/11/6,3.2676
2013/11/7,3.2178
2013/11/8,3.1711
2013/11/11,3.1835
2013/11/12,3.2084
2013/11/13,3.1555
2013/11/14,3.1929
2013/11/15,3.2614
2013/11/18,3.3362
2013/11/19,3.3517
2013/11/20,3.386
2013/11/21,3.3735
2013/11/22,3.3549
2013/11/25,3.3424
2013/11/26,3.3549
2013/11/27,3.3891
2013/11/28,3.4234
2013/11/29,3.439
2013/12/2,3.2926
2013/12/3,3.3642
2013/12/4,3.4265
2013/12/5,3.4265
2013/12/6,3.4203
2013/12/9,3.4421
2013/12/10,3.4421
2013/12/11,3.4078
2013/12/12,3.414
2013/12/13,3.4203
2013/12/16,3.3611
2013/12/17,3.3393
2013/12/18,3.333
2013/12/19,3.3081
2013/12/20,3.2645
2013/12/23,3.2583
2013/12/24,3.277
2013/12/25,3.3175
2013/12/26,3.2583
2013/12/27,3.3112
2013/12/30,3.3206
2013/12/31,3.3362
2014/1/2,3.3549
2014/1/3,3.333
2014/1/6,3.2396
2014/1/7,3.2521
2014/1/8,3.2552
2014/1/9,3.224
2014/1/10,3.1617
2014/1/13,3.1461
2014/1/14,3.2022
2014/1/15,3.2209
2014/1/16,3.2396
2014/1/17,3.196
2014/1/20,3.1742
2014/1/21,3.2116
2014/1/22,3.3081
2014/1/23,3.333
2014/1/24,3.386
2014/1/27,3.3829
2014/1/28,3.3767
2014/1/29,3.4016
2014/1/30,3.3829
2014/2/7,3.4483
2014/2/10,3.548
2014/2/11,3.5573
2014/2/12,3.5947
2014/2/13,3.5418
2014/2/14,3.6009
2014/2/17,3.6695
2014/2/18,3.6601
2014/2/19,3.6632
2014/2/20,3.6103
2014/2/21,3.5885
2014/2/24,3.5729
2014/2/25,3.4483
2014/2/26,3.467
2014/2/27,3.4203
2014/2/28,3.4576
2014/3/3,3.5293
2014/3/4,3.5262
2014/3/5,3.5075
2014/3/6,3.5044
2014/3/7,3.4919
2014/3/10,3.3611
2014/3/11,3.3642
2014/3/12,3.3642
2014/3/13,3.4016
2014/3/14,3.3798
2014/3/17,3.4545
2014/3/18,3.4732
2014/3/19,3.4608
2014/3/20,3.3735
2014/3/21,3.4358
2014/3/24,3.467
2014/3/25,3.467
2014/3/26,3.4795
2014/3/27,3.4327
2014/3/28,3.358
2014/3/31,3.3393
2014/4/1,3.3922
2014/4/2,3.3953
2014/4/3,3.3891
2014/4/4,3.4234
2014/4/8,3.4639
2014/4/9,3.495
2014/4/10,3.5106
2014/4/11,3.495
2014/4/14,3.5231
2014/4/15,3.4981
2014/4/16,3.495
2014/4/17,3.4919
2014/4/18,3.5075
2014/4/21,3.4483
2014/4/22,3.4296
2014/4/23,3.414
2014/4/24,3.3798
2014/4/25,3.305
2014/4/28,3.2053
2014/4/29,3.2489
2014/4/30,3.2739
2014/5/5,3.3019
2014/5/6,3.3144
2014/5/7,3.2614
2014/5/8,3.2645
2014/5/9,3.2334
2014/5/12,3.3175
2014/5/13,3.3112
2014/5/14,3.3019
2014/5/15,3.2489
2014/5/16,3.2427
2014/5/19,3.2178
2014/5/20,3.2334
2014/5/21,3.2614
2014/5/22,3.2614
2014/5/23,3.3019
2014/5/26,3.3362
2014/5/27,3.3237
2014/5/28,3.3642
2014/5/29,3.3268
2014/5/30,3.3362
2014/6/3,3.3268
2014/6/4,3.3019
2014/6/5,3.3393
2014/6/6,3.3299
2014/6/9,3.305
2014/6/10,3.3486
2014/6/11,3.3642
2014/6/12,3.358
2014/6/13,3.3953
2014/6/16,3.4109
2014/6/17,3.3829
2014/6/18,3.3673
2014/6/19,3.2739
2014/6/20,3.305
2014/6/23,3.3299
2014/6/24,3.3517
2014/6/25,3.333
2014/6/26,3.3767
2014/6/27,3.3953
2014/6/30,3.4296
2014/7/1,3.4545
2014/7/2,3.4795
2014/7/3,3.5137
2014/7/4,3.5044
2014/7/7,3.5106
2014/7/8,3.5355
2014/7/9,3.4826
2014/7/10,3.4795
2014/7/11,3.5262
2014/7/14,3.576
2014/7/15,3.5822
2014/7/16,3.5542
2014/7/17,3.5293
2014/7/18,3.5355
2014/7/21,3.5262
2014/7/22,3.576
2014/7/23,3.5511
2014/7/24,3.548
2014/7/25,3.5791
2014/7/28,3.6414
2014/7/29,3.6757
2014/7/30,3.6819
2014/7/31,3.7255
2014/8/1,3.6913
2014/8/4,3.7411
2014/8/5,3.7567
2014/8/6,3.7847
2014/8/7,3.7505
2014/8/8,3.7691
2014/8/11,3.8283
2014/8/12,3.8501
2014/8/13,3.8501
2014/8/14,3.8252
2014/8/15,3.8719
2014/8/18,3.928
2014/8/19,3.9374
2014/8/20,3.9374
2014/8/21,3.9311
2014/8/22,3.956
2014/8/25,3.9249
2014/8/26,3.8626
2014/8/27,3.8657
2014/8/28,3.8314
2014/8/29,3.8782
2014/9/1,3.9436
2014/9/2,4.0059
2014/9/3,4.037
2014/9/4,4.0651
2014/9/5,4.0838
2014/9/9,4.1149
2014/9/10,4.1211
2014/9/11,4.1149
2014/9/12,4.1648
2014/9/15,4.2021
2014/9/16,4.0651
2014/9/17,4.0993
2014/9/18,4.1274
2014/9/19,4.1648
2014/9/22,4.1056
2014/9/23,4.1616
2014/9/24,4.2177
2014/9/25,4.2115
2014/9/26,4.2271
2014/9/29,4.2738
2014/9/30,4.3018
2014/10/8,4.3766
2014/10/9,4.3797
2014/10/10,4.3579
2014/10/13,4.361
2014/10/14,4.3423
2014/10/15,4.361
2014/10/16,4.2956
2014/10/17,4.252
2014/10/20,4.3112
2014/10/21,4.2707
2014/10/22,4.2177
2014/10/23,4.1648
2014/10/24,4.1772
2014/10/27,4.2084
2014/10/28,4.308
2014/10/29,4.3735
2014/10/30,4.3641
2014/10/31,4.3672
2014/11/3,4.4015
2014/11/4,4.3766
2014/11/5,4.3703
2014/11/6,4.4015
2014/11/7,4.3548
2014/11/10,4.4015
2014/11/11,4.2675
2014/11/12,4.3392
2014/11/13,4.3049
2014/11/14,4.2925
2014/11/17,4.3392
2014/11/18,4.3361
2014/11/19,4.3579
2014/11/20,4.3517
2014/11/21,4.4015
2014/11/24,4.4731
2014/11/25,4.5386
2014/11/26,4.5541
2014/11/27,4.5915
2014/11/28,4.5759
2014/12/1,4.5541
2014/12/2,4.6133
2014/12/3,4.6725
2014/12/4,4.7659
2014/12/5,4.6694
2014/12/8,4.7317
2014/12/9,4.5386
2014/12/10,4.7161
2014/12/11,4.7753
2014/12/12,4.8033
2014/12/15,4.8812
2014/12/16,4.8905
2014/12/17,4.8532
2014/12/18,4.8656
2014/12/19,4.822
2014/12/22,4.6382
2014/12/23,4.5354
2014/12/24,4.5946
2014/12/25,4.685
2014/12/26,4.7317
2014/12/29,4.66
2014/12/30,4.579
2014/12/31,4.6382
2015/1/5,4.713
2015/1/6,4.7846
