date,close
2012/5/28,2.202
2012/5/29,2.2359
2012/5/30,2.2291
2012/5/31,2.224
2012/6/1,2.224
2012/6/4,2.1631
2012/6/5,2.1657
2012/6/6,2.164
2012/6/7,2.1505
2012/6/8,2.1429
2012/6/11,2.1682
2012/6/12,2.1547
2012/6/13,2.186
2012/6/14,2.1767
2012/6/15,2.1851
2012/6/18,2.1919
2012/6/19,2.1758
2012/6/20,2.1733
2012/6/21,2.1395
2012/6/25,2.0972
2012/6/26,2.0972
2012/6/27,2.0896
2012/6/28,2.0777
2012/6/29,2.1014
2012/7/2,2.1014
2012/7/3,2.1048
2012/7/4,2.1048
2012/7/5,2.0811
2012/7/6,2.1149
2012/7/9,2.0727
2012/7/10,2.0642
2012/7/11,2.0735
2012/7/12,2.0921
2012/7/13,2.0955
2012/7/16,2.0617
2012/7/17,2.0659
2012/7/18,2.0659
2012/7/19,2.0727
2012/7/20,2.0574
2012/7/23,2.0321
2012/7/24,2.0363
2012/7/25,2.0236
2012/7/26,2.0143
2012/7/27,2.0169
2012/7/30,2.0101
2012/7/31,2.005
2012/8/1,2.0202
2012/8/2,2.005
2012/8/3,2.0169
2012/8/6,2.0431
2012/8/7,2.0456
2012/8/8,2.0473
2012/8/9,2.0676
2012/8/10,2.0617
2012/8/13,2.0228
2012/8/14,2.0194
2012/8/15,2.0008
2012/8/16,1.9949
2012/8/17,1.9864
2012/8/20,1.9754
2012/8/21,1.983
2012/8/22,1.9687
2012/8/23,1.978
2012/8/24,1.9585
2012/8/27,1.9179
2012/8/28,1.9179
2012/8/29,1.9052
2012/8/30,1.8968
2012/8/31,1.8968
2012/9/3,1.9086
2012/9/4,1.8883
2012/9/5,1.8875
2012/9/6,1.9061
2012/9/7,1.9932
2012/9/10,1.9999
2012/9/11,1.9847
2012/9/12,1.9949
2012/9/13,1.9754
2012/9/14,1.9889
2012/9/17,1.9424
2012/9/18,1.9188
2012/9/19,1.9264
2012/9/20,1.8849
2012/9/21,1.8841
2012/9/24,1.901
2012/9/25,1.8985
2012/9/26,1.8782
2012/9/27,1.9323
2012/9/28,1.9771
2012/10/8,1.9475
2012/10/9,1.9923
2012/10/10,1.9923
2012/10/11,1.9788
2012/10/12,1.9771
2012/10/15,1.9703
2012/10/16,1.9712
2012/10/17,1.9788
2012/10/18,2.0033
2012/10/19,2.0033
2012/10/22,2.0109
2012/10/23,1.9881
2012/10/24,1.9847
2012/10/25,1.9687
2012/10/26,1.9247
2012/10/29,1.9154
2012/10/30,1.9196
2012/10/31,1.9331
2012/11/1,1.9737
2012/11/2,1.978
2012/11/5,1.9729
2012/11/6,1.9653
2012/11/7,1.9636
2012/11/8,1.9281
2012/11/9,1.923
2012/11/12,1.9298
2012/11/13,1.9002
2012/11/14,1.9052
2012/11/15,1.8824
2012/11/16,1.8646
2012/11/19,1.8646
2012/11/20,1.8596
2012/11/21,1.8824
2012/11/22,1.8714
2012/11/23,1.8816
2012/11/26,1.8697
2012/11/27,1.8494
2012/11/28,1.8291
2012/11/29,1.8224
2012/11/30,1.8308
2012/12/3,1.8139
2012/12/4,1.8283
2012/12/5,1.8925
2012/12/6,1.89
2012/12/7,1.9281
2012/12/10,1.9458
2012/12/11,1.9399
2012/12/12,1.9441
2012/12/13,1.9289
2012/12/14,2.0262
2012/12/17,2.0321
2012/12/18,2.0286
2012/12/19,2.0337
2012/12/20,2.0475
2012/12/21,2.0389
2012/12/24,2.0406
2012/12/25,2.0972
2012/12/26,2.1032
2012/12/27,2.0989
2012/12/28,2.1298
2012/12/31,2.1641
2013/1/4,2.1692
2013/1/7,2.1726
2013/1/8,2.1632
2013/1/9,2.1615
2013/1/10,2.1666
2013/1/11,2.1341
2013/1/14,2.2095
2013/1/15,2.2224
2013/1/16,2.2061
2013/1/17,2.1924
2013/1/18,2.2249
2013/1/21,2.2327
2013/1/22,2.2292
2013/1/23,2.2335
2013/1/24,2.2189
2013/1/25,2.2087
2013/1/28,2.2687
2013/1/29,2.2858
2013/1/30,2.2987
2013/1/31,2.3047
2013/2/1,2.3493
2013/2/4,2.3536
2013/2/5,2.3707
2013/2/6,2.3776
2013/2/7,2.3664
2013/2/8,2.3741
2013/2/18,2.339
2013/2/19,2.3012
2013/2/20,2.3115
2013/2/21,2.2292
2013/2/22,2.2224
2013/2/25,2.2258
2013/2/26,2.1932
2013/2/27,2.2138
2013/2/28,2.2884
2013/3/1,2.2858
2013/3/4,2.1778
2013/3/5,2.2404
2013/3/6,2.2644
2013/3/7,2.2369
2013/3/8,2.2335
2013/3/11,2.2181
2013/3/12,2.1864
2013/3/13,2.1624
2013/3/14,2.1666
2013/3/15,2.1684
2013/3/18,2.1452
2013/3/19,2.1641
2013/3/20,2.2301
2013/3/21,2.2361
2013/3/22,2.2421
2013/3/25,2.2387
2013/3/26,2.2018
2013/3/27,2.2069
2013/3/28,2.1383
2013/3/29,2.1323
2013/4/1,2.1289
2013/4/2,2.1323
2013/4/3,2.1281
2013/4/8,2.1178
2013/4/9,2.1306
2013/4/10,2.1306
2013/4/11,2.1212
2013/4/12,2.1143
2013/4/15,2.0929
2013/4/16,2.1058
2013/4/17,2.1109
2013/4/18,2.1152
2013/4/19,2.1752
2013/4/22,2.1684
2013/4/23,2.1023
2013/4/24,2.1383
2013/4/25,2.1161
2013/4/26,2.0963
2013/5/2,2.098
2013/5/3,2.1358
2013/5/6,2.1606
2013/5/7,2.1658
2013/5/8,2.1795
2013/5/9,2.1684
2013/5/10,2.1769
2013/5/13,2.1684
2013/5/14,2.1366
2013/5/15,2.1469
2013/5/16,2.1906
2013/5/17,2.2284
2013/5/20,2.2412
2013/5/21,2.2412
2013/5/22,2.2438
2013/5/23,2.2198
2013/5/24,2.2318
2013/5/27,2.2267
2013/5/28,2.273
2013/5/29,2.2652
2013/5/30,2.2592
2013/5/31,2.2335
2013/6/3,2.2378
